Date,Category,Metric,Value
6/30/2021,PTA,MarketSize(B),4.4
6/30/2021,Outdoor Power Equipment,MarketSize(B),12
6/30/2021,Storage,MarketSize(B),2
6/30/2021,Hand Tools,MarketSize(B),7.4
6/30/2021,Power Tools,MarketSize(B),10
6/30/2021,PTA,SBD MarketShare,0.247
6/30/2021,Storage,SBD MarketShare,0.273
6/30/2021,Hand Tools,SBD MarketShare,0.155
6/30/2021,Power Tools,SBD MarketShare,0.344
7/30/2021,Power Tools,MarketSize(B),8
