Date,Category,Metric,Value
6/30/21,PTA,MarketSize(B),4.4
6/30/21,Outdoor Power Equipment,MarketSize(B),12
6/30/21,Storage,MarketSize(B),2
6/30/21,Hand Tools,MarketSize(B),7.4
6/30/21,Power Tools,MarketSize(B),13
6/30/21,PTA,SBD MarketShare,0.247
6/30/21,Outdoor Power Equipment,SBD MarketShare,0.193
6/30/21,Storage,SBD MarketShare,0.273
6/30/21,Hand Tools,SBD MarketShare,0.155
6/30/21,Power Tools,SBD MarketShare,0.344
